name_ru,name_en,name_uz,name_la
Озимая совка,Turnip moth  ,kuzgi tunlam,Agrotis segetum Shiff.
Тля  ,Aphids  ,aftidlar,Aphididae
Совка гамма,Silver Y moth  ,gamma tunlami,Autogrаpha gamma L.
Зерновки,Seed beetles  ,donxo‘rlar,Bruchidae
Морковная муха  ,Carrot fly  ,sabzi chivini,Chamaepsila rosae Fabr.
Ореховая тля  ,Walnut aphids  ,yong‘oq aftidi,"Choromaphis juglandicola, Callaphis juglandis"
Плодожорка яблонная  ,Codling moth  ,olma aftidi,Cydia pomonella L.
Луковая муха  ,Onion fly  ,piyoz chivini,Delia antiqua Meig.
Проволочники,Wireworms  ,simchuvalchanglar,Elateridae
Прибрежная мушка,Shore fly  ,sohil chivini,Ephydra macellaria Egg.
Виноградный зудень,Grape erineum mite  ,unli aftida,Eriophyes vitis Pgst.
Мучнистая тля  ,Woolly aphid  ,uzum qichima kuni,Eriosoma lanigerum Hausm.
Вредная черепашка,Sunn pest  ,zararkunanda toshbaqa,Eurygaster integriceps
Рисовая кобылка,Rice grasshopper  ,guruch chigirtkasi,Exya fuscvoitata Marsch.
Хлопковая совка  ,Cotton bollworm  ,paxta tunlami,Helicoverpa armigera Hübner
Хлопковая совка  ,Cotton bollworm  ,paxta tunlami,Helicoverpa armigera Hübner.
Подсолнечниковая огнёвка,Sunflower moth  ,quyaboqar olovkasi,Homoeosoma nebulella Hb.
Колорадский жук,Colorado potato beetle  ,Kolorad xasharoti,Leptinotarsa decemlineata Say.
Дынная муха,Melon fly  ,qovun chivini,Myiopardalis pardalina Bigot.
Совки,Owlet moths  ,tunlamlar,Noctuidae
Пьявица,Pea leaf weevil  ,p’iyya (piyavitsa),Oulema melanopus L.
Красный плодовый клещ,Red spider mite  ,qizil mevachilik o‘qarisi,Panonychus ulmi Кoch.
Картофельная моль,Potato tuber moth  ,kartoshka moli,Phthorimaea operculella Zell.
Капустная белянка,Large white butterfly  ,karam kapalagi,Pieris brassicae L.
Червец Комстока,Comstock mealybug  ,Komstock chervets,Pseudococcus comstocki Kuwana.
Кукурузный мотылек,Corn earworm  ,makkajo‘xori kapalagi,Pyrausta nubilalis Hb.
Ореховая плодожорка,Walnut codling moth  ,yong‘oq mevachilik qurti,Sarrothrypus musculana Ersch.
Клубеньковые долгоносики,Root weevils  ,tugunak burgaqo‘ng‘izi,Sitona sp.
Гроздевая листовёртка,Grape berry moth  ,uzum barg o‘ramchisi,Sparganothis pilleriana Schiff.
Паутинный клещ,Two-spotted spider mite  ,to‘r o‘qarisi,Tetranychus urticae Koch.
Табачный трипс,Tobacco thrips  ,tamaki tripsi,Thrips tabaci L.
Трипсы,Thrips  ,tripslar,Thysanoptera
Белокрылки,Whiteflies  ,oqqanotlar,Trialeurodes vaporariorum Westw. Bemisia tabaci Gen.
Томатная моль,Tomato leaf miner  ,pomidor moli,Tuta absoluta Meyr.
Пшеничный трипс  ,Wheat thrips ,bug‘doy tripsi,Нaplothrips tritici Kurd.
